K35 FPS FK in Steueranlagezehntel;;;;;;;;;
Kurzbeschrieb: Fremdkapital dividiert durch Ertrag eines Steueranlagezehntels.




BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SAZ];2003 [SAZ];2004 [SAZ];2005 [SAZ];2006 [SAZ];2007 [SAZ];2008 [SAZ];2009 [SAZ];2010 [SAZ];2011 [SAZ]
697;Malleray;1970.0;241;15;18;;66.43;70.22;81.41;76.72;67.69;61.39;44.77;50.95;55.77;51.65
587;Matten b.I.;3780.0;250;11;13;;55.43;58.71;47.34;41.33;36.13;31.29;37.11;42.39;57.50;49.58
543;Mattstetten;588.0;246;9;11;351;5.97;4.84;4.80;5.71;3.69;3.03;2.62;2.40;2.40;2.13
389;Meienried;53.0;243;5;20;;2.63;7.64;2.61;9.49;2.68;7.77;2.50;6.58;2.32;2.95
307;Meikirch;2344.0;246;1;11;351;18.37;15.92;12.26;10.12;4.60;4.60;4.77;4.52;4.90;3.55
390;Meinisberg;1292.0;242;5;15;;29.24;31.13;27.64;19.71;18.25;17.74;14.65;10.58;9.80;11.64
785;Meiringen;4581.0;250;18;7;;61.89;51.21;47.60;50.89;52.82;53.60;46.57;44.25;39.83;46.51
333;Melchnau;1567.0;244;2;19;;43.34;40.30;50.62;32.14;40.07;31.43;25.43;24.58;18.46;19.97
741;Merzligen;411.0;243;16;15;;31.05;20.23;17.54;13.52;10.32;6.96;3.61;4.60;3.79;6.37
615;Mirchel;578.0;246;12;16;;67.80;45.45;35.96;35.89;48.69;45.03;52.28;49.44;45.86;56.75
