K33 IQ Investitionsquote;;;;;;;;;
Kurzbeschrieb: Nettoinvestitionen dividiert durch den Finanzertrag.
Finanzertrag = Total Ertrag Laufende Rechnung ohne Durchlaufende Beiträge (47), Entnahmen aus
Spezialfinanzierungen (48) und interne Verrechnungen (49).


BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [PROZ];2003 [PROZ];2004 [PROZ];2005 [PROZ];2006 [PROZ];2007 [PROZ];2008 [PROZ];2009 [PROZ];2010 [PROZ];2011 [PROZ]
355;Köniz;38633.0;246;3;9;351;0.06;0.06;0.12;0.06;0.06;0.04;0.05;0.08;0.07;0.05
435;La Ferrière;545.0;241;7;19;;0.09;0.03;0.18;0.09;-0.12;0.05;0.01;0.03;0.04;0.03
436;La Heutte;486.0;241;7;15;;0.03;0.05;0.05;0.00;0.03;0.01;0.02;0.21;0.36;0.21
723;La Neuveville;3559.0;241;13;17;;0.12;0.04;0.03;0.06;0.06;0.04;0.11;0.11;0.07;0.05
722;Lamboing;682.0;241;13;16;;0.00;0.03;0.08;0.06;0.06;0.09;0.03;-0.01;0.15;0.07
613;Landiswil;628.0;246;12;21;;0.00;-0.02;0.15;0.16;0.12;0.09;0.05;0.09;0.21;0.02
329;Langenthal;15017.0;244;2;3;;0.00;0.00;0.00;0.04;0.01;-0.02;0.04;0.05;0.08;0.14
902;Langnau i.E.;9018.0;245;23;3;;0.15;0.15;0.11;0.13;0.06;0.12;0.14;0.11;0.12;0.13
842;Lauenen;810.0;248;20;21;;0.11;0.34;0.23;0.17;0.07;0.09;0.08;0.18;0.20;0.20
667;Laupen;2830.0;246;14;10;351;0.21;0.18;0.03;-0.02;0.02;0.04;0.15;0.12;0.07;0.08
903;Lauperswil;2680.0;245;23;19;;0.08;0.09;0.03;0.04;0.05;0.04;0.07;0.18;0.25;0.37
584;Lauterbrunnen;2741.0;250;11;6;;0.09;0.07;0.06;0.08;0.15;0.11;0.10;0.13;0.29;0.14
330;Leimiswil;0.0;244;2;19;;0.05;0.09;-0.17;0.00;0.04;0.14;0.10;0.30;0.37;0.00
585;Leissigen;932.0;250;11;17;;0.00;0.63;-0.09;0.48;0.17;0.20;0.05;0.09;0.03;0.07
387;Lengnau;4627.0;242;5;14;;0.03;0.06;0.08;0.08;0.14;0.08;0.15;0.11;0.16;0.06
792;Lenk;2419.0;248;19;6;;0.06;0.08;0.20;0.02;0.03;0.11;0.11;0.26;0.10;0.10
388;Leuzigen;1200.0;243;5;16;;0.01;0.02;0.09;0.08;0.06;0.17;0.11;0.02;0.03;0.40
740;Ligerz;521.0;242;16;20;;0.03;0.15;0.22;0.10;0.04;0.13;0.09;0.09;0.19;0.08
542;Limpach;359.0;246;9;20;;-0.05;0.02;0.01;0.00;0.04;0.03;0.00;0.10;0.08;0.04
614;Linden;1321.0;246;12;19;;0.06;0.06;0.12;0.15;0.06;0.14;0.32;0.41;0.07;0.13
874;Lohnstorf;224.0;246;22;21;;0.08;0.02;0.12;0.14;0.20;0.05;0.05;0.25;0.28;0.29
331;Lotzwil;2462.0;244;2;15;;0.00;0.13;0.14;0.15;0.03;0.08;0.12;0.10;0.06;0.26
696;Loveresse;317.0;241;15;19;;0.03;0.86;-0.58;0.06;0.00;0.04;0.58;0.36;0.43;0.13
306;Lyss;13776.0;243;1;3;;0.00;0.15;0.32;0.00;-0.01;0.06;0.07;0.11;0.05;0.15
415;Lyssach;1427.0;245;6;12;404;0.16;0.09;0.01;0.05;0.05;0.04;0.05;0.08;0.08;0.26
933;Längenbühl;0.0;247;24;20;;0.04;0.01;0.04;0.02;0.07;0.00;0.00;0.00;0.00;0.00
497;Lüscherz;537.0;243;8;20;;0.10;0.25;0.12;0.07;0.10;0.13;0.04;0.04;0.12;0.02
586;Lütschental;240.0;250;11;20;;0.02;0.19;0.00;0.82;0.96;0.28;-0.30;0.26;-0.17;0.05
955;Lützelflüh;4075.0;245;25;19;;0.15;0.05;0.05;0.04;0.05;0.04;0.07;0.06;0.13;0.04
332;Madiswil;3140.0;244;2;20;;0.07;0.05;0.16;0.05;0.06;0.12;0.08;0.04;0.07;0.16
697;Malleray;1970.0;241;15;18;;0.14;0.19;0.18;0.07;0.05;0.01;0.06;0.07;0.02;0.18
